Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
62,AFR::MWI::Southern::Balaka,2001-01-01,2018-07-08,,2831,,,2018-07-08,10,JHU Cholera Database (UID: 21230),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 2831 cases",JHU
63,AFR::MWI::Central::Kasungu,2001-01-01,2018-07-08,,2432,,,2018-07-08,10,JHU Cholera Database (UID: 21230),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 2432 cases",JHU
64,AFR::MWI::Northern::Karonga,2001-01-01,2018-07-08,,1904,,,2018-07-08,10,JHU Cholera Database (UID: 21230),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1904 cases",JHU
65,AFR::MWI::Southern::Nsanje,2001-01-01,2018-07-08,,1696,,,2018-07-08,10,JHU Cholera Database (UID: 21230),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1696 cases",JHU
66,AFR::MWI::Southern::Mangochi,2001-01-01,2018-07-08,,1384,,,2018-07-08,10,JHU Cholera Database (UID: 21230),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1384 cases",JHU
67,AFR::MWI::Southern::Zomba,2001-01-01,2018-07-08,,1187,,,2018-07-08,10,JHU Cholera Database (UID: 21230),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1187 cases",JHU
68,AFR::MWI::Central::Nkhotakota,2001-01-01,2018-07-08,,985,,,2018-07-08,10,JHU Cholera Database (UID: 21230),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 985 cases",JHU
69,AFR::MWI::Central::Salima,2001-01-01,2018-07-08,,701,,,2018-07-08,10,JHU Cholera Database (UID: 21230),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 701 cases",JHU
70,AFR::MWI::Southern::Phalombe,2001-01-01,2018-07-08,,462,,,2018-07-08,10,JHU Cholera Database (UID: 21230),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 462 cases",JHU
71,AFR::MWI,2013-01-01,2013-12-31,,0,,,2013-12-31,38,JHU Cholera Database (UID: 21368),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU
72,AFR::MWI::Southern,1999-11-01,2000-05-31,,661,,,2000-05-31,30,JHU Cholera Database (UID: 12984),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 661 cases",JHU
73,AFR::MWI,2017-11-20,2018-04-29,30,929,195,3.2,2018-04-29,3,WHO AFRO Surveillance Report (UID: 20881),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 929 cases, 30 deaths",JHU
74,AFR::MWI::Central::Lilongwe,2018-04-23,2018-04-29,0,11,,0.0,2018-04-29,3,WHO AFRO Surveillance Report (UID: 20881),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 11 cases, 0 deaths",JHU
75,AFR::MWI,2017-03-15,2017-04-07,0,18,,0.0,2017-04-07,35,WHO AFRO Surveillance Report (UID: 20471),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 18 cases, 0 deaths",JHU
76,AFR::MWI,2017-04-01,2017-04-07,0,1,,0.0,2017-04-07,35,WHO AFRO Surveillance Report (UID: 20471),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1 cases, 0 deaths",JHU
77,AFR::MWI::MW-C::MW-LI,2019-10-29,2019-10-29,,1,1,,2019-10-29,25,JHU Cholera Database (UID: 20667),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1 cases",JHU
78,AFR::MWI,2019-10-29,2019-11-04,,0,,,2019-11-04,25,JHU Cholera Database (UID: 20667),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU
79,AFR::MWI,2017-11-20,2018-01-28,4,308,5,1.3,2018-01-28,11,WHO AFRO Surveillance Report (UID: 20789),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 308 cases, 4 deaths",JHU
80,AFR::MWI,2018-01-22,2018-01-28,,23,,,2018-01-28,11,WHO AFRO Surveillance Report (UID: 20789),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 23 cases",JHU
81,AFR::MWI::Northern::Karonga,2017-11-20,2018-01-28,4,211,,1.9,2018-01-28,11,WHO AFRO Surveillance Report (UID: 20789),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 211 cases, 4 deaths",JHU
82,AFR::MWI::Northern::Nkhata Bay,2017-11-20,2018-01-28,0,20,,0.0,2018-01-28,11,WHO AFRO Surveillance Report (UID: 20789),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 20 cases, 0 deaths",JHU
83,AFR::MWI::Central::Kasungu,2017-11-20,2018-01-28,0,1,,0.0,2018-01-28,11,WHO AFRO Surveillance Report (UID: 20789),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1 cases, 0 deaths",JHU
84,AFR::MWI::Central::Dowa,2017-11-20,2018-01-28,0,4,,0.0,2018-01-28,11,WHO AFRO Surveillance Report (UID: 20789),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 4 cases, 0 deaths",JHU
85,AFR::MWI::Central::Salima,2017-11-20,2018-01-28,0,10,,0.0,2018-01-28,11,WHO AFRO Surveillance Report (UID: 20789),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 10 cases, 0 deaths",JHU
86,AFR::MWI::Central::Lilongwe,2017-11-20,2018-01-28,0,58,,0.0,2018-01-28,11,WHO AFRO Surveillance Report (UID: 20789),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 58 cases, 0 deaths",JHU
87,AFR::MWI::Southern::Mulanje,2017-11-20,2018-01-28,0,3,,0.0,2018-01-28,11,WHO AFRO Surveillance Report (UID: 20789),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 3 cases, 0 deaths",JHU
88,AFR::MWI,2017-11-20,2018-01-14,4,261,5,1.5,2018-01-14,15,WHO AFRO Surveillance Report (UID: 20777),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 261 cases, 4 deaths",JHU
89,AFR::MWI,2018-01-08,2018-01-14,,68,,,2018-01-14,15,WHO AFRO Surveillance Report (UID: 20777),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 68 cases",JHU
90,AFR::MWI::Northern::Karonga,2017-11-20,2018-01-14,4,194,,2.1,2018-01-14,15,WHO AFRO Surveillance Report (UID: 20777),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 194 cases, 4 deaths",JHU
91,AFR::MWI::Northern::Nkhata Bay,2017-11-20,2018-01-14,0,18,,0.0,2018-01-14,15,WHO AFRO Surveillance Report (UID: 20777),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 18 cases, 0 deaths",JHU
